SAKNAS kap1-01: img=0, graph=0
SAKNAS kap1-02: img=0, graph=0
SAKNAS kap1-03: img=0, graph=0
OK kap1-04: img=1, graph=1
SAKNAS kap1-05: img=0, graph=0
OK kap2-01: img=0, graph=3
OK kap2-02: img=0, graph=1
SAKNAS kap2-03: img=0, graph=0
SAKNAS kap2-04: img=0, graph=0
OK kap2-05: img=0, graph=1
OK kap3-01: img=1, graph=1
SAKNAS kap3-02: img=0, graph=0
SAKNAS kap3-03: img=0, graph=0
OK kap3-04: img=1, graph=1
SAKNAS kap3-05: img=0, graph=0
SAKNAS kap3-06: img=0, graph=0
SAKNAS kap3-07: img=0, graph=0
OK kap4-01: img=1, graph=1
SAKNAS kap4-02: img=0, graph=0
OK kap4-03: img=1, graph=1
OK kap4-04: img=1, graph=1
SAKNAS kap4-05: img=0, graph=0
SAKNAS kap4-06: img=0, graph=0
SAKNAS kap4-07: img=0, graph=0
SAKNAS kap5-01: img=0, graph=0
SAKNAS kap5-02: img=0, graph=0
OK kap5-03: img=2, graph=2
SAKNAS kap5-04: img=0, graph=0
SAKNAS kap5-05: img=0, graph=0
OK kap5-06: img=1, graph=1
SAKNAS kap5-07: img=0, graph=0
SAKNAS kap6-01: img=0, graph=0
OK kap6-02: img=3, graph=3
SAKNAS kap6-03: img=0, graph=0
SAKNAS kap6-04: img=0, graph=0
OK kap6-05: img=1, graph=1
OK kap6-06: img=1, graph=1
OK kap6-07: img=1, graph=1
SAKNAS kap6-08: img=0, graph=0
